2021-04-01 19:19:04	2021-04-01 19:19:03	SPY	399.73 (800)  	399.74 (11800) 
2021-04-01 19:19:04	2021-04-01 19:19:03	SPY	ARCA
2021-04-01 19:19:04	2021-04-01 19:19:03	SPY	DRCTEDGE
2021-04-01 19:19:04	2021-04-01 19:19:03	SPY	ISLAND
2021-04-01 19:19:04	2021-04-01 19:19:03	SPY	399.74 (300)  	399.74 (100) 
2021-04-01 19:19:04	2021-04-01 19:19:03	SPY	ISLAND
2021-04-01 19:19:04	2021-04-01 19:19:03	SPY	ISLAND
2021-04-01 19:19:04	2021-04-01 19:19:03	SPY	399.74 (200)  	399.75 (3900) 
2021-04-01 19:19:04	2021-04-01 19:19:03	SPY	DRCTEDGE
2021-04-01 19:19:04	2021-04-01 19:19:03	SPY	FINRA
2021-04-01 19:19:04	2021-04-01 19:19:03	SPY	FINRA
2021-04-01 19:19:04	2021-04-01 19:19:04	SPY	399.74 (6400)  	399.76 (4400) 
2021-04-01 19:19:04	2021-04-01 19:19:04	SPY	399.75 (200)  	399.76 (4400) 
2021-04-01 19:19:04	2021-04-01 19:19:04	SPY	ISLAND
2021-04-01 19:19:04	2021-04-01 19:19:04	SPY	DRCTEDGE
2021-04-01 19:19:04	2021-04-01 19:19:04	SPY	FINRA
updateMktDepth 1002 0 0 1 399.75 1
updateMktDepth 1002 1 0 1 399.74 9
updateMktDepth 1002 2 0 1 399.73 15
updateMktDepth 1002 3 0 1 399.72 32
updateMktDepth 1002 4 0 1 399.71 21
updateMktDepth 1002 5 0 1 399.7 32
updateMktDepth 1002 6 0 1 399.69 15
updateMktDepth 1002 7 0 1 399.68 22
updateMktDepth 1002 8 0 1 399.67 28
updateMktDepth 1002 9 0 1 399.66 22
updateMktDepth 1002 10 0 1 399.65 29
updateMktDepth 1002 11 0 1 399.64 18
updateMktDepth 1002 12 0 1 399.63 18
updateMktDepth 1002 13 0 1 399.62 28
updateMktDepth 1002 14 0 1 399.61 18
updateMktDepth 1002 15 0 1 399.6 28
updateMktDepth 1002 16 0 1 399.59 19
updateMktDepth 1002 17 0 1 399.58 20
updateMktDepth 1002 18 0 1 399.57 29
updateMktDepth 1002 19 0 1 399.56 19
updateMktDepth 1002 20 0 1 399.55 19
updateMktDepth 1002 21 0 1 399.54 21
updateMktDepth 1002 22 0 1 399.53 22
updateMktDepth 1002 23 0 1 399.52 20
updateMktDepth 1002 24 0 1 399.51 23
updateMktDepth 1002 25 0 1 399.5 38
updateMktDepth 1002 26 0 1 399.49 16
updateMktDepth 1002 27 0 1 399.48 5
updateMktDepth 1002 28 0 1 399.47 3
updateMktDepth 1002 29 0 1 399.46 3
updateMktDepth 1002 30 0 1 399.45 8
updateMktDepth 1002 31 0 1 399.44 7
updateMktDepth 1002 32 0 1 399.43 8
updateMktDepth 1002 33 0 1 399.42 3
updateMktDepth 1002 34 0 1 399.41 4
updateMktDepth 1002 35 0 1 399.4 7
updateMktDepth 1002 36 0 1 399.39 3
updateMktDepth 1002 37 0 1 399.38 2
updateMktDepth 1002 38 0 1 399.37 7
updateMktDepth 1002 39 0 1 399.36 3
updateMktDepth 1002 40 0 1 399.35 2
updateMktDepth 1002 41 0 1 399.34 3
updateMktDepth 1002 42 0 1 399.33 3
updateMktDepth 1002 43 0 1 399.32 10
updateMktDepth 1002 44 0 1 399.31 7
updateMktDepth 1002 45 0 1 399.3 3
updateMktDepth 1002 46 0 1 399.29 3
updateMktDepth 1002 47 0 1 399.28 3
updateMktDepth 1002 48 0 1 399.27 3
updateMktDepth 1002 49 0 1 399.26 4
updateMktDepth 1002 50 0 1 399.25 4
updateMktDepth 1002 51 0 1 399.24 10
updateMktDepth 1002 52 0 1 399.23 3
updateMktDepth 1002 53 0 1 399.22 2
updateMktDepth 1002 54 0 1 399.21 3
updateMktDepth 1002 55 0 1 399.2 10
updateMktDepth 1002 56 0 1 399.19 2
updateMktDepth 1002 57 0 1 399.18 3
updateMktDepth 1002 58 0 1 399.17 7
updateMktDepth 1002 59 0 1 399.16 2
updateMktDepth 1002 60 0 1 399.15 19
updateMktDepth 1002 61 0 1 399.14 2
updateMktDepth 1002 62 0 1 399.13 2
updateMktDepth 1002 63 0 1 399.12 7
updateMktDepth 1002 64 0 1 399.11 2
updateMktDepth 1002 65 0 1 399.1 3
updateMktDepth 1002 66 0 1 399.09 3
updateMktDepth 1002 67 0 1 399.08 19
updateMktDepth 1002 68 0 1 399.07 3
updateMktDepth 1002 69 0 1 399.06 3
updateMktDepth 1002 70 0 1 399.05 12
updateMktDepth 1002 71 0 1 399.04 3
updateMktDepth 1002 72 0 1 399.03 3
updateMktDepth 1002 73 0 1 399.02 4
updateMktDepth 1002 74 0 1 399.01 2
updateMktDepth 1002 75 0 1 399.0 80
updateMktDepth 1002 76 0 1 398.99 22
updateMktDepth 1002 77 0 1 398.98 2
updateMktDepth 1002 78 0 1 398.97 8
updateMktDepth 1002 79 0 1 398.96 3
updateMktDepth 1002 80 0 1 398.95 3
updateMktDepth 1002 81 0 1 398.94 3
updateMktDepth 1002 82 0 1 398.93 7
updateMktDepth 1002 83 0 1 398.92 2
updateMktDepth 1002 84 0 1 398.91 2
updateMktDepth 1002 85 0 1 398.9 7
updateMktDepth 1002 86 0 1 398.89 2
updateMktDepth 1002 87 0 1 398.88 2
updateMktDepth 1002 88 0 1 398.87 2
updateMktDepth 1002 89 0 1 398.86 4
updateMktDepth 1002 90 0 1 398.85 7
updateMktDepth 1002 91 0 1 398.84 5
updateMktDepth 1002 92 0 1 398.83 2
updateMktDepth 1002 93 0 1 398.82 2
updateMktDepth 1002 94 0 1 398.81 3
updateMktDepth 1002 95 0 1 398.8 10
updateMktDepth 1002 96 0 1 398.79 3
updateMktDepth 1002 97 0 1 398.78 3
updateMktDepth 1002 98 0 1 398.77 5
updateMktDepth 1002 99 0 1 398.76 2
updateMktDepth 1002 0 0 0 399.76 6
updateMktDepth 1002 1 0 0 399.77 25
updateMktDepth 1002 2 0 0 399.78 12
updateMktDepth 1002 3 0 0 399.79 17
updateMktDepth 1002 4 0 0 399.8 8
updateMktDepth 1002 5 0 0 399.81 20
updateMktDepth 1002 6 0 0 399.82 19
updateMktDepth 1002 7 0 0 399.83 20
updateMktDepth 1002 8 0 0 399.84 30
updateMktDepth 1002 9 0 0 399.85 23
updateMktDepth 1002 10 0 0 399.86 18
updateMktDepth 1002 11 0 0 399.87 28
updateMktDepth 1002 12 0 0 399.88 20
updateMktDepth 1002 13 0 0 399.89 19
updateMktDepth 1002 14 0 0 399.9 20
updateMktDepth 1002 15 0 0 399.91 19
updateMktDepth 1002 16 0 0 399.92 19
updateMktDepth 1002 17 0 0 399.93 22
updateMktDepth 1002 18 0 0 399.94 20
updateMktDepth 1002 19 0 0 399.95 23
updateMktDepth 1002 20 0 0 399.96 23
updateMktDepth 1002 21 0 0 399.97 19
updateMktDepth 1002 22 0 0 399.98 16
updateMktDepth 1002 23 0 0 399.99 15
updateMktDepth 1002 24 0 0 400.0 216
updateMktDepth 1002 25 0 0 400.01 25
updateMktDepth 1002 26 0 0 400.02 17
updateMktDepth 1002 27 0 0 400.03 18
updateMktDepth 1002 28 0 0 400.04 15
updateMktDepth 1002 29 0 0 400.05 4
updateMktDepth 1002 30 0 0 400.06 2
updateMktDepth 1002 31 0 0 400.07 5
updateMktDepth 1002 32 0 0 400.08 2
updateMktDepth 1002 33 0 0 400.09 2
updateMktDepth 1002 34 0 0 400.1 12
updateMktDepth 1002 35 0 0 400.11 2
updateMktDepth 1002 36 0 0 400.12 5
updateMktDepth 1002 37 0 0 400.13 7
updateMktDepth 1002 38 0 0 400.14 2
updateMktDepth 1002 39 0 0 400.15 4
updateMktDepth 1002 40 0 0 400.16 4
updateMktDepth 1002 41 0 0 400.17 3
updateMktDepth 1002 42 0 0 400.18 5
updateMktDepth 1002 43 0 0 400.19 3
updateMktDepth 1002 44 0 0 400.2 9
updateMktDepth 1002 45 0 0 400.21 3
updateMktDepth 1002 46 0 0 400.22 4
updateMktDepth 1002 47 0 0 400.23 3
updateMktDepth 1002 48 0 0 400.24 3
updateMktDepth 1002 49 0 0 400.25 6
updateMktDepth 1002 50 0 0 400.26 3
updateMktDepth 1002 51 0 0 400.27 3
updateMktDepth 1002 52 0 0 400.28 3
updateMktDepth 1002 53 0 0 400.29 5
updateMktDepth 1002 54 0 0 400.3 3
updateMktDepth 1002 55 0 0 400.31 3
updateMktDepth 1002 56 0 0 400.32 4
updateMktDepth 1002 57 0 0 400.33 3
updateMktDepth 1002 58 0 0 400.34 3
updateMktDepth 1002 59 0 0 400.35 3
updateMktDepth 1002 60 0 0 400.36 3
updateMktDepth 1002 61 0 0 400.37 4
updateMktDepth 1002 62 0 0 400.38 3
updateMktDepth 1002 63 0 0 400.39 4
updateMktDepth 1002 64 0 0 400.4 58
updateMktDepth 1002 65 0 0 400.41 3
updateMktDepth 1002 66 0 0 400.42 3
updateMktDepth 1002 67 0 0 400.43 3
updateMktDepth 1002 68 0 0 400.44 4
updateMktDepth 1002 69 0 0 400.45 3
updateMktDepth 1002 70 0 0 400.46 4
updateMktDepth 1002 71 0 0 400.47 3
updateMktDepth 1002 72 0 0 400.48 3
updateMktDepth 1002 73 0 0 400.49 3
updateMktDepth 1002 74 0 0 400.5 8
updateMktDepth 1002 75 0 0 400.51 3
updateMktDepth 1002 76 0 0 400.52 4
updateMktDepth 1002 77 0 0 400.57 2
updateMktDepth 1002 78 0 0 400.59 13
updateMktDepth 1002 79 0 0 400.6 7
updateMktDepth 1002 80 0 0 400.67 1
updateMktDepth 1002 81 0 0 400.68 1
updateMktDepth 1002 82 0 0 400.69 4
updateMktDepth 1002 83 0 0 400.75 1
updateMktDepth 1002 84 0 0 400.8 4
updateMktDepth 1002 85 0 0 400.81 13
updateMktDepth 1002 86 0 0 400.82 1
updateMktDepth 1002 87 0 0 400.85 50
updateMktDepth 1002 88 0 0 400.9 1
updateMktDepth 1002 89 0 0 400.94 1
