2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	399.54 (4500)  	399.55 (1100) 
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	FINRA
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	EDGEA
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	EDGEA
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	BEX
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	IEX
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	FINRA
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	DRCTEDGE
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	BATS
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	BATS
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	ARCA
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	ARCA
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	ISLAND
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	ISLAND
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	ISLAND
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	ISLAND
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	ISLAND
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	ISLAND
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	FINRA
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	FINRA
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	FINRA
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	BATS
2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	EDGEA
Error: -1 2104 Market data farm connection is OK:usfarm.nj
2021-04-01 19:23:42	2021-04-01 19:23:41	SPY	BYX
2021-04-01 19:23:42	2021-04-01 19:23:41	SPY	DRCTEDGE
2021-04-01 19:23:42	2021-04-01 19:23:41	SPY	ARCA
2021-04-01 19:23:42	2021-04-01 19:23:41	SPY	NYSENAT
2021-04-01 19:23:42	2021-04-01 19:23:41	SPY	ISLAND
2021-04-01 19:23:42	2021-04-01 19:23:41	SPY	FINRA
2021-04-01 19:23:42	2021-04-01 19:23:41	SPY	ISLAND
2021-04-01 19:23:42	2021-04-01 19:23:41	SPY	ISLAND
2021-04-01 19:23:42	2021-04-01 19:23:41	SPY	FINRA
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	FINRA
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	FINRA
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	FINRA
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	FINRA
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	ARCA
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	IEX
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	IEX
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	FINRA
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	FINRA
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	FINRA
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	FINRA
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	ISLAND
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	NYSE
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	BATS
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	BATS
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	BATS
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	ISLAND
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	BATS
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	NYSE
2021-04-01 19:23:42	2021-04-01 19:23:42	SPY	FINRA
updateMktDepth 1002 0 0 1 399.53 4
updateMktDepth 1002 1 0 1 399.52 7
updateMktDepth 1002 2 0 1 399.51 5
updateMktDepth 1002 3 0 1 399.5 46
updateMktDepth 1002 4 0 1 399.49 74
updateMktDepth 1002 5 0 1 399.48 25
updateMktDepth 1002 6 0 1 399.47 31
updateMktDepth 1002 7 0 1 399.46 19
updateMktDepth 1002 8 0 1 399.45 43
updateMktDepth 1002 9 0 1 399.44 23
updateMktDepth 1002 10 0 1 399.43 23
updateMktDepth 1002 11 0 1 399.42 28
updateMktDepth 1002 12 0 1 399.41 18
updateMktDepth 1002 13 0 1 399.4 33
updateMktDepth 1002 14 0 1 399.39 18
updateMktDepth 1002 15 0 1 399.38 19
updateMktDepth 1002 16 0 1 399.37 19
updateMktDepth 1002 17 0 1 399.36 19
updateMktDepth 1002 18 0 1 399.35 22
updateMktDepth 1002 19 0 1 399.34 20
updateMktDepth 1002 20 0 1 399.33 22
updateMktDepth 1002 21 0 1 399.32 28
updateMktDepth 1002 22 0 1 399.31 24
updateMktDepth 1002 23 0 1 399.3 20
updateMktDepth 1002 24 0 1 399.29 15
updateMktDepth 1002 25 0 1 399.28 15
updateMktDepth 1002 26 0 1 399.27 15
updateMktDepth 1002 27 0 1 399.26 4
updateMktDepth 1002 28 0 1 399.25 4
updateMktDepth 1002 29 0 1 399.24 10
updateMktDepth 1002 30 0 1 399.23 3
updateMktDepth 1002 31 0 1 399.22 2
updateMktDepth 1002 32 0 1 399.21 3
updateMktDepth 1002 33 0 1 399.2 8
updateMktDepth 1002 34 0 1 399.19 2
updateMktDepth 1002 35 0 1 399.18 3
updateMktDepth 1002 36 0 1 399.17 7
updateMktDepth 1002 37 0 1 399.16 2
updateMktDepth 1002 38 0 1 399.15 19
updateMktDepth 1002 39 0 1 399.14 2
updateMktDepth 1002 40 0 1 399.13 2
updateMktDepth 1002 41 0 1 399.12 7
updateMktDepth 1002 42 0 1 399.11 2
updateMktDepth 1002 43 0 1 399.1 3
updateMktDepth 1002 44 0 1 399.09 3
updateMktDepth 1002 45 0 1 399.08 19
updateMktDepth 1002 46 0 1 399.07 3
updateMktDepth 1002 47 0 1 399.06 3
updateMktDepth 1002 48 0 1 399.05 12
updateMktDepth 1002 49 0 1 399.04 3
updateMktDepth 1002 50 0 1 399.03 3
updateMktDepth 1002 51 0 1 399.02 6
updateMktDepth 1002 52 0 1 399.01 2
updateMktDepth 1002 53 0 1 399.0 80
updateMktDepth 1002 54 0 1 398.99 22
updateMktDepth 1002 55 0 1 398.98 2
updateMktDepth 1002 56 0 1 398.97 8
updateMktDepth 1002 57 0 1 398.96 3
updateMktDepth 1002 58 0 1 398.95 3
updateMktDepth 1002 59 0 1 398.94 2
updateMktDepth 1002 60 0 1 398.93 7
updateMktDepth 1002 61 0 1 398.92 2
updateMktDepth 1002 62 0 1 398.91 2
updateMktDepth 1002 63 0 1 398.9 8
updateMktDepth 1002 64 0 1 398.89 2
updateMktDepth 1002 65 0 1 398.88 2
updateMktDepth 1002 66 0 1 398.87 2
updateMktDepth 1002 67 0 1 398.86 3
updateMktDepth 1002 68 0 1 398.85 7
updateMktDepth 1002 69 0 1 398.84 5
updateMktDepth 1002 70 0 1 398.83 2
updateMktDepth 1002 71 0 1 398.82 2
updateMktDepth 1002 72 0 1 398.81 3
updateMktDepth 1002 73 0 1 398.8 10
updateMktDepth 1002 74 0 1 398.79 3
updateMktDepth 1002 75 0 1 398.78 3
updateMktDepth 1002 76 0 1 398.77 8
updateMktDepth 1002 77 0 1 398.76 3
updateMktDepth 1002 78 0 1 398.75 13
updateMktDepth 1002 79 0 1 398.73 1
updateMktDepth 1002 80 0 1 398.72 10
